3708 !20 [   npimage  81]	open file C:\Dropbox\alma_scripts\pyalma\npyshop\sample.jpg
3746 !20 [   npimage  32]	bitdepth 8
3746 !20 [npfilelist  16]	load filelist C:\Dropbox\alma_scripts\pyalma\npyshop\sample.jpg
3915 !20 [ nphistory  37]	undo: ['orig'] redo: []
3942 !20 [   npyshop 627]	(639, 960, 3)
3942 !20 [   npyshop 628]	1
4061 !20 [   npyshop 653]	ofset [0, 0]
4067 !20 [   npyshop 876]	mainloop in 0.6432788372039795
15124 !20 [   npyshop 176]	open
15125 !20 [   npyshop 179]	fpath input dialog
20856 !20 [   npimage  81]	open file W:/JETSTREAM_NEW_2020/j171/Video 1_Ag-KA.png
21008 !20 [npfilelist  16]	load filelist W:/JETSTREAM_NEW_2020/j171/Video 1_Ag-KA.png
21093 !20 [ nphistory  37]	undo: ['load'] redo: []
21094 !20 [   npyshop 627]	(2643, 1714, 3)
21094 !20 [   npyshop 628]	3
21159 !20 [   npyshop 653]	ofset [0, 0]
30402 !20 [   npyshop 176]	open
30402 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Al-K.png
30572 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Al-K.png
30677 !20 [ nphistory  37]	undo: ['load'] redo: []
30677 !20 [   npyshop 627]	(2643, 1714, 3)
30677 !20 [   npyshop 628]	3
30755 !20 [   npyshop 653]	ofset [0, 0]
30931 !20 [   npyshop 176]	open
30931 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_As-KA.png
31697 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_As-KA.png
31811 !20 [ nphistory  37]	undo: ['load'] redo: []
31811 !20 [   npyshop 627]	(2643, 1714, 3)
31812 !20 [   npyshop 628]	3
31965 !20 [   npyshop 653]	ofset [0, 0]
31971 !20 [   npyshop 176]	open
31971 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Al-K.png
32149 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Al-K.png
32252 !20 [ nphistory  37]	undo: ['load'] redo: []
32252 !20 [   npyshop 627]	(2643, 1714, 3)
32252 !20 [   npyshop 628]	3
32329 !20 [   npyshop 653]	ofset [0, 0]
33027 !20 [   npyshop 176]	open
33027 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Ag-KA.png
33191 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Ag-KA.png
33295 !20 [ nphistory  37]	undo: ['load'] redo: []
33296 !20 [   npyshop 627]	(2643, 1714, 3)
33296 !20 [   npyshop 628]	3
33376 !20 [   npyshop 653]	ofset [0, 0]
37075 !20 [   npyshop 742]	zoom in
37076 !20 [   npyshop 757]	xy 785.0 320.0 canvas c 563.5 931.0 ofset [0, 0]             mofset [0, 0] zoom 2             zoom step 1 magnif_change 1.5
37076 !20 [   npyshop 627]	(2643, 1714, 3)
37076 !20 [   npyshop 628]	2
37259 !20 [   npyshop 653]	ofset [0, 0]
38626 !20 [   npyshop 176]	open
38627 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Al-K.png
38800 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Al-K.png
38907 !20 [ nphistory  37]	undo: ['load'] redo: []
38908 !20 [   npyshop 627]	(2643, 1714, 3)
38908 !20 [   npyshop 628]	3
38985 !20 [   npyshop 653]	ofset [0, 0]
40035 !20 [   npyshop 176]	open
40035 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Ag-KA.png
40209 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Ag-KA.png
40326 !20 [ nphistory  37]	undo: ['load'] redo: []
